Puzzle,Category,Date,Episode_Number,Round
RETURNING A KICK FOR A TOUCHDOWN,Fun & Games,11/25/13,#5901,R1
THE LUCK OF THE IRISH COFFEE,Before & After,11/25/13,#5901,R2
BLUE HAWAII BY ELVIS PRESLEY,Song/Artist,11/25/13,#5901,R3*
WOOL SWEATER VEST,Around the House,11/25/13,#5901,T3
LONGHORN CATTLE,Living Things,11/25/13,#5901,R4
PATIO CHAIRS,Things,11/25/13,#5901,BR
THE ARCTIC CIRCLE,On the Map,11/26/13,#5902,T1
A MIND READER,Person,11/26/13,#5902,T2
HE'S MAKING A LIST AND CHECKING IT TWICE,Song Lyrics,11/26/13,#5902,R1
COPPER COOKIE CUTTER,Same Letter,11/26/13,#5902,R2
INCREDIBLE MAN-MADE WATERWAY,Thing,11/26/13,#5902,R3*
SILENT AUCTION,Event,11/26/13,#5902,T3
A PIECE OF THE ACTION,Phrase,11/26/13,#5902,R4
ERUPTING VOLCANO,Thing,11/26/13,#5902,BR
SCARVES & MITTENS,Around the House,11/27/13,#5903,T1
PIE-EATING CONTEST,Fun & Games,11/27/13,#5903,T2
PREPARING AN OLD FAMILY RECIPE,Event,11/27/13,#5903,R1
CORN FRITTER AWAY THE DAY,Before & After,11/27/13,#5903,R2
LEARNING TO PLAY THE UKULELE,Fun & Games,11/27/13,#5903,R3*
PINE NEEDLES,Things,11/27/13,#5903,T3
KANGAROOS AND KOALAS,Living Things,11/27/13,#5903,R4
PLYWOOD BOX,Thing,11/27/13,#5903,BR
EVERYONE IS INVITED,Phrase,11/28/13,#5904,T1
COTTONWOOD TREE,Living Thing,11/28/13,#5904,T2
TURKEY DINNER WITH ALL THE FIXINGS,Food & Drink,11/28/13,#5904,R1
SECRETARY OF DEFENSE MECHANISM,Before & After,11/28/13,#5904,R2
ADDING NEW PHOTOS TO MY ALBUM,What Are You Doing?,11/28/13,#5904,R3*
SNOOZE BUTTON,Thing,11/28/13,#5904,T3
MIGHTY CASEY HAS STRUCK OUT,Quotation,11/28/13,#5904,R4
BABYPROOFING,What Are You Doing?,11/28/13,#5904,BR
ENJOYING LEFTOVERS,What Are You Doing?,11/29/13,#5905,T1
THE STATE FLOWER,Living Thing,11/29/13,#5905,T2
THE DIRTY DOZEN DOUGHNUTS,Before & After,11/29/13,#5905,R1
WONDER OF WONDERS MIRACLE OF MIRACLES,Song Lyrics,11/29/13,#5905,R2
CHILLING OUT IS A GOOD THING,Phrase,11/29/13,#5905,R3*
CORPORATE BOARDROOM,Place,11/29/13,#5905,T3
LITTLE LEAGUE BASEBALL,Fun & Games,11/29/13,#5905,R4
AN ACT OF CONGRESS,Event,11/29/13,#5905,R5
A WORTHY OPPONENT,Person,11/29/13,#5905,BR
CARGO AIRCRAFT,Thing,12/2/13,#5906,T1
ELITE ATHLETES,People,12/2/13,#5906,T2
MAN IN BLACK BY JOHNNY CASH,Song/Artist,12/2/13,#5906,R1
ROUNDING THIRD AND HEADING FOR HOME,Phrase,12/2/13,#5906,R2
EXCELLENT SCUBA DIVING SITES,Places,12/2/13,#5906,R3*
DOUBLE CHEESEBURGER,Food & Drink,12/2/13,#5906,T3
THE FAST AND THE FURIOUS,Movie Title,12/2/13,#5906,R4
HITCHING POST,Thing,12/2/13,#5906,BR
SAVING PRIVATE RYAN,Movie Title,12/3/13,#5907,T1
PITTSBURGH STEELERS,Proper Name,12/3/13,#5907,T2
TENNIS COURT-MARTIAL,Before & After,12/3/13,#5907,R1
FIRST TO FIGHT FOR RIGHT AND FREEDOM,Song Lyrics,12/3/13,#5907,R2
SLICING A JUICY PINEAPPLE,What Are You Doing?,12/3/13,#5907,R3*
RISING TIDE,Event,12/3/13,#5907,T3
VOTE OF CONFIDENCE,Thing,12/3/13,#5907,R4
FISH & GAME WARDEN,Occupation,12/3/13,#5907,R5
THE WHOLE POINT,Phrase,12/3/13,#5907,BR
NATIONAL TREASURES,Things,12/4/13,#5908,T1
CARPENTER SHOP,Place,12/4/13,#5908,T2
JACK NICHOLSON IN A FEW GOOD MEN,Show Biz,12/4/13,#5908,R1
RANK AND FILE CABINET,Before & After,12/4/13,#5908,R2
A WELL-DESERVED VACATION,Event,12/4/13,#5908,R3*
PICKING UP THE PACE,What Are You Doing?,12/4/13,#5908,T3
CRUSHED RED PEPPER,Food & Drink,12/4/13,#5908,R4
CROWD FAVORITE,Thing,12/4/13,#5908,BR
SERVING MY COUNTRY,What Are You Doing?,12/5/13,#5909,T1
THAT WILL DO THE TRICK,Phrase,12/5/13,#5909,T2
I LOVE YOU JUST THE WAY YOU ARE,Song Lyrics,12/5/13,#5909,R1
ROASTING MARSHMALLOWS BY THE FIRE,Fun & Games,12/5/13,#5909,R2
ISLANDS IN THE MIDDLE OF THE PACIFIC,Places,12/5/13,#5909,R3*
WEATHER FORECAST,Thing,12/5/13,#5909,T3
GENERALS AND MAJORS,People,12/5/13,#5909,R4
OVERDOING IT,Phrase,12/5/13,#5909,BR
COMMAND CENTER,Place,12/6/13,#5910,T1
IT'S A FINE LINE,Rhyme Time,12/6/13,#5910,T2
WITH LIBERTY AND JUSTICE FOR ALL,Quotation,12/6/13,#5910,R1
CHAIRMAN OF THE JOINT CHIEFS OF STAFF,Person,12/6/13,#5910,R2
TAKING OFF TO THE CARIBBEAN,What Are You Doing?,12/6/13,#5910,R3*
PASS INTERFERENCE,Fun & Games,12/6/13,#5910,T3
IS THAT A NICKNAME?,Phrase,12/6/13,#5910,R4
BIG FINISH,Phrase,12/6/13,#5910,BR
ALL ABOARD!,Phrase,12/9/13,#5911,T1
POWER COUPLE,People,12/9/13,#5911,T2
THE HAPPIEST PLACE ON EARTH,Quotation,12/9/13,#5911,R1
JULIE ANDREWS AS MARY POPPINS,Star & Role,12/9/13,#5911,R2
CULINARY DELIGHTS,Things,12/9/13,#5911,R3*
GRADUATION DAY,Event,12/9/13,#5911,T3
MATCHING BOOKENDS,Around the House,12/9/13,#5911,R4
HUMOR ME,Phrase,12/9/13,#5911,BR
PORTS OF CALL,Places,12/10/13,#5912,T1
MARINE BIOLOGIST,Occupation,12/10/13,#5912,T2
RAPUNZEL RAPUNZEL LET DOWN YOUR HAIR,Quotation,12/10/13,#5912,R1
HERE TOGETHER FRIENDS FOREVER,Rhyme Time,12/10/13,#5912,R2
PIRATES OF THE CARIBBEAN,Movie Title,12/10/13,#5912,R3*
BUTTERFLY NET,Thing,12/10/13,#5912,T3
TWO FOR THE PRICE OF ONE,Phrase,12/10/13,#5912,R4
QUAINT VILLAGE,Place,12/10/13,#5912,BR
SETTING SAIL,Event,12/11/13,#5913,T1
COLLEGE STUDENT,Person,12/11/13,#5913,T2
PLANNING A FAMILY GETAWAY,What Are You Doing?,12/11/13,#5913,R1
FISH ARE FRIENDS NOT FOOD,Movie Quote,12/11/13,#5913,R2
GORGEOUS GIGANTIC GLACIERS,Same Letter,12/11/13,#5913,R3*
FUN UNDER THE SUN,Rhyme Time,12/11/13,#5913,T3
A SPOONFUL OF SUGAR,Song Lyrics,12/11/13,#5913,R4
GROUNDHOG,Living Thing,12/11/13,#5913,BR
DROPPING ANCHOR,Event,12/12/13,#5914,T1
A PERFECT PAIR,Phrase,12/12/13,#5914,T2
SOMETIMES THE RIGHT PATH IS NOT THE EASIEST ONE,Movie Quote,12/12/13,#5914,R1
GRILLED JUMBO SHRIMP,Food & Drink,12/12/13,#5914,R2
UNDERWATER HABITAT,Place,12/12/13,#5914,R3*
CINDERELLA,Character,12/12/13,#5914,T3
HYSTERICAL COMEDY DUO,Show Biz,12/12/13,#5914,R4
FLOOR WAX,Thing,12/12/13,#5914,BR
THE DECK OF THE SHIP,Place,12/13/13,#5915,T1
SAUTEED SCALLOPS,Food & Drink,12/13/13,#5915,T2
SMASH-HIT BROADWAY MUSICAL,Show Biz,12/13/13,#5915,R1
I'M LIKE A SHOOTING STAR I'VE COME SO FAR,Song Lyrics,12/13/13,#5915,R2
EXCLUSIVE ONBOARD SHOPPING,Thing,12/13/13,#5915,R3*
SPRING FEVER,Phrase,12/13/13,#5915,T3
CAPTAIN JACK SPARROW,Character,12/13/13,#5915,R4
HOLD THE PHONE,Phrase,12/13/13,#5915,BR
BARCELONA SPAIN,On the Map,12/16/13,#5916,T1
COTTAGE BY THE SEA,Place,12/16/13,#5916,T2
TAKING A TOUR OF THE EMBASSY,Event,12/16/13,#5916,R1
MOM AND POP GOES THE WEASEL,Before & After,12/16/13,#5916,R2
BREAKING OPEN A PINATA,Fun & Games,12/16/13,#5916,R3*
HUMMINGBIRD FEEDER,Thing,12/16/13,#5916,T3
SYDNEY OPERA HOUSE,Landmark,12/16/13,#5916,R4
CERAMIC COFFEE MUG,In the Kitchen,12/16/13,#5916,R5
MY JAW HIT THE FLOOR,Phrase,12/16/13,#5916,BR
WEREWOLVES OF LONDON,Song Title,12/17/13,#5917,T1
TRAIN CONDUCTOR,Occupation,12/17/13,#5917,T2
LOOK ON THE BRIGHT SIDE OF FRENCH FRIES,Before & After,12/17/13,#5917,R1
MUSIC SENSATION KATY PERRY,Show Biz,12/17/13,#5917,R2
THIS IS HAWAII WE'RE TALKING ABOUT,Phrase,12/17/13,#5917,R3*
VISITOR CENTER,Place,12/17/13,#5917,T3
AUSTRALIA & NEW ZEALAND,On the Map,12/17/13,#5917,R4
WICKER HAMPER,Thing,12/17/13,#5917,BR
MONTREAL CANADA,On the Map,12/18/13,#5918,T1
SEAT BELT BUCKLE,Thing,12/18/13,#5918,T2
APPLE PIE A LA MODE OF TRANSPORTATION,Before & After,12/18/13,#5918,R1
CLIMBING TO THE TOP OF MOUNT EVEREST,Event,12/18/13,#5918,R2
TRADITIONAL JAMAICAN JERK CHICKEN,Food & Drink,12/18/13,#5918,R3*
THINGS TO DO AND SEE,Phrase,12/18/13,#5918,T3
WALK LIKE AN EGYPTIAN,The 80's,12/18/13,#5918,R4
QUIRKY PERSONALITY,Thing,12/18/13,#5918,BR
BEIJING CHINA,On the Map,12/19/13,#5919,T1
AIRLINE PASSENGERS,People,12/19/13,#5919,T2
DON JOHNSON STARS IN NASH BRIDGES,The 90's,12/19/13,#5919,R1
DO YOU COME FROM A LAND DOWN UNDER?,Song Lyrics,12/19/13,#5919,R2
MANGO PINEAPPLE PAPAYA SALAD,Food & Drink,12/19/13,#5919,R3*
ARRIVALS & DEPARTURES,Events,12/19/13,#5919,T3
THE ELEMENT OF SURPRISE,Phrase,12/19/13,#5919,R4
COMPUTER JARGON,Thing,12/19/13,#5919,BR
DENMARK & NORWAY,On the Map,12/20/13,#5920,T1
GOODY TWO-SHOES,Person,12/20/13,#5920,T2
ABSOLUTELY POSITIVELY,Rhyme Time,12/20/13,#5920,R1
RUNNING FOR OFFICE CUBICLE,Before & After,12/20/13,#5920,R2
DON'T FORGET TO TIP YOUR DEALER,Phrase,12/20/13,#5920,R3*
PASSPORTS & VISAS,Things,12/20/13,#5920,T3
TOY FOX TERRIER,Living Thing,12/20/13,#5920,R4
VAGUELY FAMILIAR,Phrase,12/20/13,#5920,BR
WHITE-WATER RAFTING,Fun & Games,12/23/13,#5921,T1
HOLIDAY ORNAMENTS,Things,12/23/13,#5921,T2
ROCKY MOUNTAIN HIGH,Song Lyrics,12/23/13,#5921,R1
ANNIVERSARY & CREDIT CARD,Same Name,12/23/13,#5921,R2
A LITTLE SLICE OF HEAVEN,Phrase,12/23/13,#5921,R3*
WRAPPING GIFTS,What Are You Doing?,12/23/13,#5921,T3
FUTURE GENERATIONS,People,12/23/13,#5921,R4
BERT & ERNIE,Characters,12/23/13,#5921,R5
GARDEN HOSE,Around the House,12/23/13,#5921,R6
GOOD KARMA,Thing,12/23/13,#5921,BR
A BREATH OF FRESH AIR,Phrase,12/24/13,#5922,T1
STATE PARKS,Places,12/24/13,#5922,T2
OUTRIGGER CANOE RACE,Fun & Games,12/24/13,#5922,R1
NOW DASHER! NOW DANCER! NOW PRANCER AND VIXEN!,Quotation,12/24/13,#5922,R2
BEACHFRONT SWIMMING POOL,Thing,12/24/13,#5922,R3*
MAKING A PIT STOP,What Are You Doing?,12/24/13,#5922,T3
UNBELIEVABLE TRANSFORMATION,Event,12/24/13,#5922,R4
STRAIGHT-A STUDENT,Person,12/24/13,#5922,R5
MOVING UPWARD,Phrase,12/24/13,#5922,BR
A HOLLY JOLLY CHRISTMAS,Song Lyrics,12/25/13,#5923,T1
TENT POLES & STAKES,Things,12/25/13,#5923,T2
AMERICA'S FUNNIEST HOME VIDEOS,TV Title,12/25/13,#5923,R1
CUPCAKES COBBLERS & COOKIES,Same Letter,12/25/13,#5923,R2
THE HOTTEST SHOW IN TOWN,Show Biz,12/25/13,#5923,R3*
DECORATIVE PILLOWS,Around the House,12/25/13,#5923,T3
FORGOT YOUR PASSWORD?,Phrase,12/25/13,#5923,R4
QUIZ ANSWERS,Things,12/25/13,#5923,BR
ROCK CLIMBER,Person,12/26/13,#5924,T1
RETURNS AND REFUNDS,Things,12/26/13,#5924,T2
VIOLIN STRING CHEESE,Before & After,12/26/13,#5924,R1
KEVIN COSTNER IN DANCES WITH WOLVES,The 90's,12/26/13,#5924,R2
KEEP YOUR CAMERA READY,Phrase,12/26/13,#5924,R3*
ANCIENT GREECE,Place,12/26/13,#5924,T3
HANDFUL OF TRAIL MIX,Food & Drink,12/26/13,#5924,R4
PANAMA CITY PANAMA,On the Map,12/26/13,#5924,R5
OFFBEAT COMEDY,Thing,12/26/13,#5924,BR
HIKING AND BIKING,Rhyme Time,12/27/13,#5925,T1
MYSTIC PIZZA,The 80's,12/27/13,#5925,T2
REACHING THE TOP OF THE MOUNTAIN,Event,12/27/13,#5925,R1
SLEEPING & TEA BAG,Same Name,12/27/13,#5925,R2
AWE-INSPIRING DESTINATIONS,Places,12/27/13,#5925,R3*
WHEN THE DUST SETTLES,Phrase,12/27/13,#5925,T3
YOSEMITE SAM AND BUGS BUNNY,Characters,12/27/13,#5925,R4
HUNGARIAN GOULASH,Food & Drink,12/27/13,#5925,R5
BY THE POUND,Phrase,12/27/13,#5925,BR
RINGING IN THE NEW YEAR,What Are You Doing?,12/30/13,#5926,T1
ENGINE ROOM,Place,12/30/13,#5926,T2
I'M IN LOVE I'M ALL SHOOK UP,Song Lyrics,12/30/13,#5926,R1
LOSING YOUR FIRST TOOTH FAIRY,Before & After,12/30/13,#5926,R2
BLUE MOUNTAIN COFFEE BEANS,Food & Drink,12/30/13,#5926,R3*
HOLIDAY PARTY,Event,12/30/13,#5926,T3
THE TABLES ARE TURNING,Phrase,12/30/13,#5926,R4
WOOD-BURNING STOVE,In the Kitchen,12/30/13,#5926,R5
BEYOND WORDS,Phrase,12/30/13,#5926,BR
PARADE FLOATS,Things,12/31/13,#5927,T1
AN ALL-STAR CAST,Show Biz,12/31/13,#5927,T2
I FEEL THE NEED THE NEED FOR SPEED,Movie Quote,12/31/13,#5927,R1
FASHIONABLY LATE BLOOMER,Before & After,12/31/13,#5927,R2
VISITING THE CONCIERGE DESK,What Are You Doing?,12/31/13,#5927,R3*
CORKSCREW,In the Kitchen,12/31/13,#5927,T3
PLAYING CHARADES,Fun & Games,12/31/13,#5927,R4
POSTER BOY,Person,12/31/13,#5927,BR
GOALS AND ASPIRATIONS,Things,1/1/14,#5928,T1
COLLEGE FOOTBALL,Fun & Games,1/1/14,#5928,T2
DAZZLING FIREWORKS DISPLAY,Event,1/1/14,#5928,R1
PAMELA ANDERSON COOPER,Before & After,1/1/14,#5928,R2
A SUITE WITH A VIEW OF THE OCEAN,Place,1/1/14,#5928,R3*
USE THE FORCE LUKE,Movie Quote,1/1/14,#5928,T3
PREDICTING THE FUTURE,What Are You Doing?,1/1/14,#5928,R4
HEADPHONES,Things,1/1/14,#5928,BR
MAKING RESOLUTIONS,What Are You Doing?,1/2/14,#5929,T1
SEWING KIT,Around the House,1/2/14,#5929,T2
SCIENCE FICTION WRITER,Occupation,1/2/14,#5929,R1
VOLCANIC ROCK PAPER SCISSORS,Before & After,1/2/14,#5929,R2
ANNUAL HULA FESTIVAL,Event,1/2/14,#5929,R3*
DOUBLE BUBBLE,Rhyme Time,1/2/14,#5929,T3
DON'T GET BUZZED OUT,Phrase,1/2/14,#5929,R4
CHOWDER,Food & Drink,1/2/14,#5929,BR
HEALTH AND WEALTH,Rhyme Time,1/3/14,#5930,T1
REUNION CONCERT TOUR,Show Biz,1/3/14,#5930,T2
CHOCOLATE-COVERED STRAWBERRIES,Food & Drink,1/3/14,#5930,R1
BINGO AND BIRTHDAY CARD,Same Name,1/3/14,#5930,R2
DOLPHINS DOING FLIPS,Living Things,1/3/14,#5930,R3*
CULT CLASSIC ROCK,Thing,1/3/14,#5930,T3
EATING WITH CHOPSTICKS,What Are You Doing?,1/3/14,#5930,R4
NICE JOB,Phrase,1/3/14,#5930,BR
HONEY BUNNY,Rhyme Time,1/6/14,#5931,T1
RIDING A UNICYCLE,Fun & Games,1/6/14,#5931,T2
MARVEL SUPERHERO THOR,Character,1/6/14,#5931,R1
TOO MUCH INFORMATION BOOTH,Before & After,1/6/14,#5931,R2
A WEALTH OF FUN THINGS TO DO,Phrase,1/6/14,#5931,R3*
THELMA & LOUISE,The 90's,1/6/14,#5931,T3
BEAUTIFUL SMILE,Thing,1/6/14,#5931,R4
FORGET-ME-NOTS,Living Things,1/6/14,#5931,R5
PROBING QUESTIONS,Things,1/6/14,#5931,BR
YOUNGSTOWN OHIO,On the Map,1/7/14,#5932,T1
BICEPS AND TRICEPS,Things,1/7/14,#5932,T2
PONTOON BRIDGE TOURNAMENT,Before & After,1/7/14,#5932,R1
THE GREATEST NATION IN THE WORLD,Place,1/7/14,#5932,R2
A TASTE OF THE GOOD LIFE,Phrase,1/7/14,#5932,R3*
COMRADE IN ARMS,Person,1/7/14,#5932,T3
MISSIONS AND OPERATIONS,Events,1/7/14,#5932,R4
FIRE-BREATHING DRAGON,Character,1/7/14,#5932,R5
BEDROCK,Thing,1/7/14,#5932,BR
SOUTH DAKOTA,On the Map,1/8/14,#5933,T1
ALL-STAR TEAM,People,1/8/14,#5933,T2
LIKE A BOLT OUT OF THE BLUE,Song Lyrics,1/8/14,#5933,R1
MATTRESS SPRING FLING,Before & After,1/8/14,#5933,R2
FABULOUS FLAVORFUL FOOD,Same Letter,1/8/14,#5933,R3*
EUCALYPTUS TREE,Living Thing,1/8/14,#5933,T3
HARD-HITTING INTERVIEW,Thing,1/8/14,#5933,R4
COMPANY BIGWIG,Person,1/8/14,#5933,BR
TAKE IT TO THE LIMIT,Song Title,1/9/14,#5934,T1
SHUFFLEBOARD,Fun & Games,1/9/14,#5934,T2
HARRISON FORD IN AIR FORCE ONE,The 90's,1/9/14,#5934,R1
DEBT CEILING FAN,Before & AFter,1/9/14,#5934,R2
YOU WON'T HEAR ME COMPLAINING,Phrase,1/9/14,#5934,R3*
HOT FUDGE SUNDAE,Food & Drink,1/9/14,#5934,T3
KITCHEN APPLIANCES,Things,1/9/14,#5934,R4
EXHIBITION,Thing,1/9/14,#5934,BR
HOLD ON TO YOUR HATS,Phrase,1/10/14,#5935,T1
GRACELAND IN MEMPHIS,Landmark,1/10/14,#5935,T2
GETTING IN ON THE GROUND FLOOR,What Are You Doing?,1/10/14,#5935,R1
PRESIDENT THEODORE ROOSEVELT,Proper Name,1/10/14,#5935,R2
CHOCOLATE MACADAMIA PANCAKES,Food & Drink,1/10/14,#5935,R3*
HEARTWARMING STORIES,Things,1/10/14,#5935,T3
EXECUTIVES AND MANAGERS,People,1/10/14,#5935,R4
I'M ON THE LOOKOUT,Phrase,1/10/14,#5935,BR
HIT THE GROUND RUNNING,Phrase,1/13/14,#5936,T1
KNIGHT RIDER,The 80's,1/13/14,#5936,T2
NUTRITION & PHYSICAL FITNESS,Things,1/13/14,#5936,R1
IF THESE WALLS COULD TALK,Before & After,1/13/14,#5936,R2
UNITED STATES VIRGIN ISLANDS,On the Map,1/13/14,#5936,R3*
TOSSING A SALAD,What Are You Doing?,1/13/14,#5936,T3
A FLOCK OF SEAGULLS,Living Things,1/13/14,#5936,R4
GIVERS AND TAKERS,People,1/13/14,#5936,R5
QUITE A PAIR,Phrase,1/13/14,#5936,BR
QUENCHING MY THIRST,What Are You Doing?,1/14/14,#5937,T1
TRUTH BE TOLD,Phrase,1/14/14,#5937,T2
TOMATOES CARROTS CELERY AND BEETS,Food & Drink,1/14/14,#5937,R1
WISHFUL THINKING CAP,Before & After,1/14/14,#5937,R2
NIGHTCLUBS AND LOUNGES,Places,1/14/14,#5937,R3*
SELF-HELP BOOKS,Around the House,1/14/14,#5937,T3
PHOTOGRAPHIC MEMORY,Thing,1/14/14,#5937,R4
LIGHTHOUSE KEEPER,Person,1/14/14,#5937,R5
YOUR HOMEWORK,Thing,1/14/14,#5937,BR
FOOD FOR THOUGHT,Phrase,1/15/14,#5938,T1
EARLY BIRDS,People,1/15/14,#5938,T2
MONSTER MOVIE MARATHON,Same Letter,1/15/14,#5938,R1
MTV VIDEO MUSIC AWARDS,Show Biz,1/15/14,#5938,R2
BUILDING SANDCASTLES ON THE BEACH,Fun & Games,1/15/14,#5938,R3*
EXERCISE ROUTINE,Thing,1/15/14,#5938,T3
COLLECTING COUPONS,What Are You Doing?,1/15/14,#5938,R4
GARDEN FLOWERS,Living Things,1/15/14,#5938,R5
BEVELED FRAME,Thing,1/15/14,#5938,BR
HEALTHY LIFESTYLE,Thing,1/16/14,#5939,T1
TOASTERS & ROASTERS,Rhyme Time,1/16/14,#5939,T2
SIGNING UP FOR THE NEWSLETTER,What Are You Doing?,1/16/14,#5939,R1
MEN IN BLACK SOUP,Before & After,1/16/14,#5939,R2
INTERNATIONAL FLAVOR,Phrase,1/16/14,#5939,R3*
APPLE ORCHARD,Place,1/16/14,#5939,T3
LINCOLN NEBRASKA,On the Map,1/16/14,#5939,R4
MONKEY WRENCH,Around the House,1/16/14,#5939,R5
HYBRID VEHICLE,Thing,1/16/14,#5939,BR
EAGER BEAVER,Rhyme Time,1/17/14,#5940,T1
BEAMING WITH PRIDE,What Are You Doing?,1/17/14,#5940,T2
GREEN SEEDLESS GRAPES,Food & Drink,1/17/14,#5940,R1
ALICIA SILVERSTONE STARS IN CLUELESS,The 90's,1/17/14,#5940,R2
I'M LOVING LIFE RIGHT NOW,Phrase,1/17/14,#5940,R3*
WATER FILTER,Around the House,1/17/14,#5940,T3
PAINTING A PICTURE,Fun & Games,1/17/14,#5940,R4
UPLIFTING SPEECH,Thing,1/17/14,#5940,BR
SUMMER WIND,Song Title,1/20/14,#5941,T1
SPECIAL APPEARANCE,Show Biz,1/20/14,#5941,T2
LAUGH-OUT-LOUD FUNNY,Phrase,1/20/14,#5941,R1
MAGIC CARPET CLEANING,Before & After,1/20/14,#5941,R2
PURE PERFECT PARADISE,Same Letter,1/20/14,#5941,R3*
THE NORTHERN HEMISPHERE,On the Map,1/20/14,#5941,T3
THOUSANDS OF DOLLARS,Things,1/20/14,#5941,R4
HITCHING A RIDE,What Are You Doing?,1/20/14,#5941,R5
JOVIAL HOST,Person,1/20/14,#5941,BR
REBIRTH AND RENEWAL,Phrase,1/21/14,#5942,T1
WESTERN EUROPE,On the Map,1/21/14,#5942,T2
CLOUDY WITH A CHANCE OF MEATBALLS,Title,1/21/14,#5942,R1
I NEVER KNEW LOVE LIKE THIS BEFORE,Song Lyrics,1/21/14,#5942,R2
GETTING DIRECTIONS TO THE BEACH,What Are You Doing?,1/21/14,#5942,R3*
INDEPENDENT FILM,Show Biz,1/21/14,#5942,T3
RIPE CANTALOUPE,Food & Drink,1/21/14,#5942,R4
JUST GOOGLE IT,Phrase,1/21/14,#5942,BR
LATITUDE & LONGITUDE,Things,1/22/14,#5943,T1
UNFINISHED BUSINESS,Phrase,1/22/14,#5943,T2
TAKING THE BULL BY THE HORNS,What Are You Doing?,1/22/14,#5943,R1
DO YOU SPEAK GERMAN CHOCOLATE CAKE,Before & After,1/22/14,#5943,R2
WELCOME TO FANTASY ISLAND,TV Quote,1/22/14,#5943,R3*
VEGETABLE GARDEN,Place,1/22/14,#5943,T3
UPCOMING MOVIE TRAILERS,Show Biz,1/22/14,#5943,R4
ECONOMY SIZE,Phrase,1/22/14,#5943,BR
RED CARNATIONS,Living Things,1/23/14,#5944,T1
LUKE SKYWALKER,Character,1/23/14,#5944,T2
WHAT'S YOUR CLAIM TO FAME?,Rhyme Time,1/23/14,#5944,R1
LOCKER ROOM WITH A VIEW,Before & After,1/23/14,#5944,R2
LOCATION LOCATION LOCATION,Phrase,1/23/14,#5944,R3*
A LASTING IMPRESSION,Thing,1/23/14,#5944,T3
SUNSHINE ON MY SHOULDERS,Song Lyrics,1/23/14,#5944,R4
FLUFFY WOOL,Thing,1/23/14,#5944,BR
WARM AND BREEZY,Phrase,1/24/14,#5945,T1
NAVEL ORANGE,Food & Drink,1/24/14,#5945,T2
WORLD-RENOWNED ART COLLECTION,Thing,1/24/14,#5945,R1
SANDRA BULLOCK STARS IN GRAVITY,Show Biz,1/24/14,#5945,R2
CLIMATE CULTURE CUSTOMS,Same Letter,1/24/14,#5945,R3*
STATE CAPITAL,Place,1/24/14,#5945,T3
MILD-MANNERED REPORTER,Person,1/24/14,#5945,R4
PINK FEATHER BOA,Thing,1/24/14,#5945,BR
WIND-CHILL FACTOR,Thing,1/27/14,#5946,T1
PAPER AIRPLANES,Fun & Games,1/27/14,#5946,T2
WORKING HARD TO FINISH THE JOB,What Are You Doing?,1/27/14,#5946,R1
THROUGH THICK AND THIN PIZZA CRUST,Before & After,1/27/14,#5946,R2
FRUITY TROPICAL COCKTAILS,Food & Drink,1/27/14,#5946,R3*
SAVED BY THE BELL,The 90's,1/27/14,#5946,T3
MONEY MONEY MONEY,Song Title,1/27/14,#5946,R4
A CAPPELLA GROUP,People,1/27/14,#5946,BR
THE YUKON TERRITORY,On the Map,1/28/14,#5947,T1
IN A NUTSHELL,Phrase,1/28/14,#5947,T2
DADDY'S LITTLE GIRL,Person,1/28/14,#5947,R1
WORTH ITS WEIGHT IN GOLD RECORDS,Before & After,1/28/14,#5947,R2
SPICY CHILI PEPPERS,Food & Drink,1/28/14,#5947,R3*
THE WEATHER CHANNEL,TV Title,1/28/14,#5947,T3
FREEZING TEMPERATURES,Things,1/28/14,#5947,R4
WITTY PUNS,Things,1/28/14,#5947,BR
ALASKA SALMON,Living Thing,1/29/14,#5948,T1
CRIMINAL MINDS,TV Title,1/29/14,#5948,T2
READING A THERMOMETER,What Are You Doing?,1/29/14,#5948,R1
SIRLOIN TIP OF THE ICEBERG,Before & After,1/29/14,#5948,R2
COMPLIMENTARY LIMOUSINE RIDE,Thing,1/29/14,#5948,R3*
KLONDIKE BAR,Food & Drink,1/29/14,#5948,T3
I'M BACK IN THE GAME,Phrase,1/29/14,#5948,R4
COUNTERTOP MICROWAVE,In the Kitchen,1/29/14,#5948,R5
JUNE JULY AND AUGUST,Things,1/29/14,#5948,BR
POLAR BEAR CLUB,Thing,1/30/14,#5949,T1
BUILDING A BONFIRE,Event,1/30/14,#5949,T2
THE CALL OF THE WILD-GOOSE CHASE,Before & After,1/30/14,#5949,R1
FLIPPING FLUFFY FLAPJACKS,Same Letter,1/30/14,#5949,R2
BASKING IN THE RADIANT SUNSHINE,What Are You Doing?,1/30/14,#5949,R3*
HOME ALONE,The 90's,1/30/14,#5949,T3
HOW THE WEST WAS WON,Phrase,1/30/14,#5949,R4
GUTSY CHOICE,Thing,1/30/14,#5949,BR
ALPINE ADVENTURE,Event,1/31/14,#5950,T1
A TALE OF TWO CITIES,Title,1/31/14,#5950,T2
JUST MAKING CONVERSATION,What Are You Doing?,1/31/14,#5950,R1
I SLEPT LIKE A BABY BOOMER,Before & After,1/31/14,#5950,R2
LOVELY LUSH LANDSCAPES,Same Letter,1/31/14,#5950,R3*
SIBERIAN TIGER,Living Thing,1/31/14,#5950,T3
